id1,id2,LM0,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8,LM9,LM10,LM11,LM12,LM13,LM14,LM15,LM16,LM17,LM18,LM19,LM20,LM21,LM22,LM23,LM24,LM25,LM26,LM27,LM28,LM29,LM30,LM31,LM32,LM33,LM34,LM35,LM36,LM37,LM38,LM39
BB00096SALM14.jpg,BB00096SALM14.jpg,2.678,4.249,4.91,4.391,2.856,3.927,3.708,2.034,1.352,0.464,1.249,1.951,2.122,2.761,1.373,2.111,5.961,6.038,4.646,4.146,2.521,4.538,2.531,3.998,5.82,5.244,0.0,2.767,2.923,2.737,1.681,0.266,0.111,0.869,3.555,5.034,5.3,5.052,4.854,4.367
BB00096SALM15.jpg,BB00096SALM15.jpg,5.695,1.571,4.712,4.712,1.571,0.0,1.789,6.206,1.893,1.166,NaN,1.446,5.498,1.571,3.785,2.159,2.07,6.012,6.086,0.083,0.862,4.27,1.019,2.423,0.225,5.749,0.381,0.298,0.528,5.695,0.464,0.785,5.284,1.645,0.844,2.034,1.713,5.94,6.118,4.588
BB00096SALM16.jpg,BB00096SALM16.jpg,0.588,2.356,2.678,1.989,5.387,4.712,4.391,5.253,1.391,1.466,1.326,1.394,1.951,3.142,1.373,1.893,2.799,3.444,4.712,1.368,1.736,1.989,1.429,1.438,2.737,2.897,0.983,2.962,4.823,1.474,1.571,2.388,4.249,0.671,3.71,4.124,5.3,NaN,4.792,1.676
BB00096SALM17.jpg,BB00096SALM17.jpg,0.0,0.675,4.854,5.253,1.406,4.391,5.654,2.034,0.82,5.356,0.0,4.294,5.034,3.142,1.571,5.498,3.522,1.451,0.785,4.3,1.19,1.201,2.214,0.54,1.012,1.204,2.863,2.373,3.405,4.515,2.976,5.97,0.838,0.983,0.219,5.139,4.249,5.961,1.501,4.069
BB00096SALM18.jpg,BB00096SALM18.jpg,3.762,3.142,4.172,5.498,4.249,3.816,2.93,2.447,1.654,1.268,1.571,1.278,4.957,0.165,1.268,1.723,1.963,1.31,4.613,4.854,4.588,1.699,6.072,2.642,6.086,4.91,4.044,2.959,1.849,1.736,1.107,1.571,1.337,0.07,5.458,4.547,1.571,6.038,1.172,4.399
BB00096SALM19.jpg,BB00096SALM19.jpg,2.897,1.571,1.571,1.862,1.406,2.622,4.11,1.808,5.176,1.249,5.365,4.652,5.498,4.8,4.712,5.387,3.283,3.387,1.48,0.629,6.038,6.184,0.395,1.249,0.686,1.499,1.742,0.671,4.871,6.005,3.661,1.429,0.785,4.931,3.248,1.768,1.571,2.611,5.498,1.51
BB00096SALM20.jpg,BB00096SALM20.jpg,5.82,5.3,4.92,4.249,4.892,5.865,5.454,0.588,0.291,0.785,0.588,4.712,5.158,0.54,4.588,2.554,3.232,3.142,2.246,0.278,1.842,1.352,4.391,1.571,5.071,3.373,1.201,3.594,1.67,1.249,4.939,0.702,1.518,3.171,3.314,4.712,4.712,4.303,4.451,1.326
BB00096SALM21.jpg,BB00096SALM21.jpg,2.159,1.571,5.387,1.869,0.245,4.533,1.654,1.571,4.565,2.159,0.869,4.943,4.921,2.82,4.124,1.666,6.056,2.081,5.206,5.215,5.725,0.0,4.124,0.833,0.219,0.1,3.73,3.142,2.078,1.523,4.498,5.857,3.927,3.403,0.785,1.789,1.736,0.785,2.702,1.429
BB00096SALM22.jpg,BB00096SALM22.jpg,0.0,2.356,5.865,4.91,0.0,4.979,6.005,4.823,0.588,3.836,3.241,1.499,2.191,2.583,1.831,5.695,5.498,5.382,2.447,3.975,1.802,4.712,4.854,5.857,0.0,2.4,3.325,2.531,1.609,3.605,2.034,3.329,0.983,4.638,0.766,2.447,2.266,1.004,1.983,1.48
BB00096SALM23.jpg,BB00096SALM23.jpg,0.322,0.0,1.571,1.695,0.0,4.515,1.862,4.364,4.294,4.249,3.387,4.861,5.011,1.429,4.434,5.3,0.91,4.859,4.138,4.712,0.938,2.467,3.816,5.498,3.058,4.391,4.812,5.764,1.571,4.646,5.176,1.571,4.434,1.412,5.947,5.093,4.641,4.789,4.249,4.777
